"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"1","UOxkGD8qRB4","PAVLA PELUNÁKOVÁ SICE NEMÁ KOZY, ale aspon nemá tak povislý pysky jako KONY LMAO","PAVLA PELUNÁKOVÁ SICE NEMÁ KOZY, ale aspon nemá tak povislý pysky jako KONY LMAO","Werki Cz","https://yt3.ggpht.com/ytc/AKedOLQhvCMozVHODmQvK-Ai9hCVZLhqHbWgrmkqQ0ph=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCn-TuUjaO9po2UOjpUpkh_g","UCn-TuUjaO9po2UOjpUpkh_g","TRUE","none","0","2021-10-10T20:08:26Z","2021-10-10T20:08:26Z"
"2","UOxkGD8qRB4","david nehorázne tancuje s pavlou na maturitaku a bude ji chytat za kozy.. JO POCKEJ","david nehorázne tancuje s pavlou na maturitaku a bude ji chytat za kozy.. JO POCKEJ","Jakub Hejzlar","https://yt3.ggpht.com/ytc/AKedOLT_1CghRafadS5vHiXQlJWMTwAmdBStSPS-gg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCbNsog7235CJXj9uzpCNSYQ","UCbNsog7235CJXj9uzpCNSYQ","TRUE","none","0","2021-10-10T20:07:53Z","2021-10-10T20:07:53Z"
"3","UOxkGD8qRB4","jakub hejzlar ma tak strasne nadrzeny pohledy na pavlu hejzlarovou, ze to ani neni mozny A MA RAD KONY KOZICKY","jakub hejzlar ma tak strasne nadrzeny pohledy na pavlu hejzlarovou, ze to ani neni mozny A MA RAD KONY KOZICKY","Werki Cz","https://yt3.ggpht.com/ytc/AKedOLQhvCMozVHODmQvK-Ai9hCVZLhqHbWgrmkqQ0ph=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCn-TuUjaO9po2UOjpUpkh_g","UCn-TuUjaO9po2UOjpUpkh_g","TRUE","none","0","2021-10-10T20:06:32Z","2021-10-10T20:06:32Z"
"4","UOxkGD8qRB4","PROSÍM VÍC &lt;3 KONÝ DO HUBY","PROSÍM VÍC <3 KONÝ DO HUBY","Werki Cz","https://yt3.ggpht.com/ytc/AKedOLQhvCMozVHODmQvK-Ai9hCVZLhqHbWgrmkqQ0ph=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCn-TuUjaO9po2UOjpUpkh_g","UCn-TuUjaO9po2UOjpUpkh_g","TRUE","none","2","2021-10-10T20:04:55Z","2021-10-10T20:04:55Z"
"5","UOxkGD8qRB4","why is ahri always sitting she was sitting in the other one and is in this one too","why is ahri always sitting she was sitting in the other one and is in this one too","Twible404","https://yt3.ggpht.com/nFj9vKNHFdJsjHj49Jmsccfi9cczGTss0D2LaYbACd4Z7UZdbL_jb5ra-OjtcGh4S1zZN1BR=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCcJACnpwaXtBf2L3u8gOdKQ","UCcJACnpwaXtBf2L3u8gOdKQ","TRUE","none","0","2021-10-10T19:57:09Z","2021-10-10T19:57:09Z"
"6","UOxkGD8qRB4","KDA &gt;&gt;&gt;&gt;&gt; aEspa","KDA >>>>> aEspa","<U+0001D624><U+0001D630><U+0001D630><U+0001D62C><U+0001D62A><U+0001D626> <U+2727>","https://yt3.ggpht.com/ytc/AKedOLS-CcdR5c5tIgboIMk1EXBlInCEYUwJHQ7Y3WqxOQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCdLLSwHdzuZ_HoFGgOv0RXQ","UCdLLSwHdzuZ_HoFGgOv0RXQ","TRUE","none","0","2021-10-10T19:01:01Z","2021-10-10T19:01:01Z"
"7","UOxkGD8qRB4","I keep coming back to this , it’s just legendary and so good","I keep coming back to this , it’s just legendary and so good","Blackpink is the revolution","https://yt3.ggpht.com/rRPO3PJgu4kZPNY2a8ZWSe_uMeZcniCI0qMWaGpZgEnZD8XKSQaoELEWYT0Y1OdKneOVCQIQ-SY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCF-kh8W4clsRH-FA7TQpyVg","UCF-kh8W4clsRH-FA7TQpyVg","TRUE","none","0","2021-10-10T16:59:19Z","2021-10-10T16:59:19Z"
"8","UOxkGD8qRB4","Play <a href=""https://www.youtube.com/watch?v=UOxkGD8qRB4&amp;t=0m34s"">0:34</a>-<a href=""https://www.youtube.com/watch?v=UOxkGD8qRB4&amp;t=0m56s"">0:56</a> at 0.5 it sounds so beautiful and cool!","Play 0:34-0:56 at 0.5 it sounds so beautiful and cool!","SHEILA PRIME09","https://yt3.ggpht.com/yItXnCcaPR5lFqdxXxgS4BbpfikBmk8BtjPpYcrqEOpm1zSLKVwdElg-UkuFbkuC-kIfhjiQ-w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC-tsb05XEq9wa1owUvmvV0Q","UC-tsb05XEq9wa1owUvmvV0Q","TRUE","none","1","2021-10-10T16:44:58Z","2021-10-10T16:44:58Z"
"9","UOxkGD8qRB4","I love this song","I love this song","Ayool","https://yt3.ggpht.com/K3IGmVRj8MRhttnKr_ArzpRnvZNC2lEcnHgPDW-Nhmg09iqmq-vimXtDKpJlh1O1-58YX2ihYw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC_T9xksh3w-g82UZquq2MvQ","UC_T9xksh3w-g82UZquq2MvQ","TRUE","none","0","2021-10-10T15:06:14Z","2021-10-10T15:06:14Z"
"10","UOxkGD8qRB4","KDA vs aespa <U+0001F923><U+0001F923>","KDA vs aespa <U+0001F923><U+0001F923>","Zimzim Zimzalabim","https://yt3.ggpht.com/ytc/AKedOLSXqWslR3Ux8Uy2qIKZF9a-K37tDCU_bWs0zQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxFA_VhIZ38KIi29gwX-hYw","UCxFA_VhIZ38KIi29gwX-hYw","TRUE","none","0","2021-10-10T14:39:57Z","2021-10-10T14:39:57Z"
"11","UOxkGD8qRB4","Wtf why did YouTube delete 3k comments?","Wtf why did YouTube delete 3k comments?","AddisonRaePickles","https://yt3.ggpht.com/ytc/AKedOLQXCjGxQAO_iBjlikFMaDYoO5U2IHBYrv6cGJ3D=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCXxD1VAJvGrTYBkRzeZP39w","UCXxD1VAJvGrTYBkRzeZP39w","TRUE","none","0","2021-10-10T14:06:10Z","2021-10-10T14:06:10Z"
"12","UOxkGD8qRB4","<U+3158>","<U+3158>","<U+CC10><U+AD6D>","https://yt3.ggpht.com/lBsmClDaygJBXsJYhUGVB1ejMfIwr2qKG2Ghu_XVGAAr-gmIyKheZ11lSpel9Y0swWabgfjDUw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCuPpWZnxMEMIAj9MVmcqNiQ","UCuPpWZnxMEMIAj9MVmcqNiQ","TRUE","none","0","2021-10-10T13:48:55Z","2021-10-10T13:48:55Z"
